genome_name	publication	genome_id	antibiotic	resistant_phenotype	measurement	measurement_sign	measurement_value	measurement_unit	laboratory_typing_method	laboratory_typing_method_version	laboratory_typing_platform	testing_standard	testing_standard_year	genome.bioproject_accession	genome.biosample_accession	genome.assembly_accession	genome.genbank_accessions	genome.refseq_accessions
Staphylococcus argenteus strain 3688STDY6125069	26806258	985002.97	trimethoprim/sulfamethoxazole	Susceptible										PRJEB9575	SAMEA3449077	GCF_900128175.1	FQRB00000000	
Staphylococcus argenteus strain 3688STDY6125070	26806258	985002.153	cefoxitin	Susceptible										PRJEB9575	SAMEA3449078	GCF_900126585.1	FQMP00000000	
Staphylococcus argenteus strain 3688STDY6125070	26806258	985002.153	clindamycin	Susceptible										PRJEB9575	SAMEA3449078	GCF_900126585.1	FQMP00000000	
Staphylococcus argenteus strain 3688STDY6125070	26806258	985002.153	erythromycin	Susceptible										PRJEB9575	SAMEA3449078	GCF_900126585.1	FQMP00000000	
Staphylococcus argenteus strain 3688STDY6125070	26806258	985002.153	fosfomycin	Susceptible										PRJEB9575	SAMEA3449078	GCF_900126585.1	FQMP00000000	
Staphylococcus argenteus strain 3688STDY6125070	26806258	985002.153	fusidic acid	Susceptible										PRJEB9575	SAMEA3449078	GCF_900126585.1	FQMP00000000	
Staphylococcus argenteus strain 3688STDY6125070	26806258	985002.153	gentamicin	Susceptible										PRJEB9575	SAMEA3449078	GCF_900126585.1	FQMP00000000	
Staphylococcus argenteus strain 3688STDY6125070	26806258	985002.153	levofloxacin	Susceptible										PRJEB9575	SAMEA3449078	GCF_900126585.1	FQMP00000000	
Staphylococcus argenteus strain 3688STDY6125070	26806258	985002.153	oxacillin	Susceptible										PRJEB9575	SAMEA3449078	GCF_900126585.1	FQMP00000000	
Staphylococcus argenteus strain 3688STDY6125070	26806258	985002.153	penicillin	Resistant										PRJEB9575	SAMEA3449078	GCF_900126585.1	FQMP00000000	
Staphylococcus argenteus strain 3688STDY6125070	26806258	985002.153	trimethoprim/sulfamethoxazole	Susceptible										PRJEB9575	SAMEA3449078	GCF_900126585.1	FQMP00000000	
Staphylococcus argenteus strain 3688STDY6125071	26806258	985002.141	cefoxitin	Susceptible										PRJEB9575	SAMEA3449079	GCF_900126595.1	FQMQ00000000	
Staphylococcus argenteus strain 3688STDY6125071	26806258	985002.141	clindamycin	Susceptible										PRJEB9575	SAMEA3449079	GCF_900126595.1	FQMQ00000000	
Staphylococcus argenteus strain 3688STDY6125071	26806258	985002.141	erythromycin	Susceptible										PRJEB9575	SAMEA3449079	GCF_900126595.1	FQMQ00000000	
Staphylococcus argenteus strain 3688STDY6125071	26806258	985002.141	fosfomycin	Susceptible										PRJEB9575	SAMEA3449079	GCF_900126595.1	FQMQ00000000	
Staphylococcus argenteus strain 3688STDY6125071	26806258	985002.141	fusidic acid	Susceptible										PRJEB9575	SAMEA3449079	GCF_900126595.1	FQMQ00000000	
Staphylococcus argenteus strain 3688STDY6125071	26806258	985002.141	gentamicin	Susceptible										PRJEB9575	SAMEA3449079	GCF_900126595.1	FQMQ00000000	
Staphylococcus argenteus strain 3688STDY6125071	26806258	985002.141	levofloxacin	Susceptible										PRJEB9575	SAMEA3449079	GCF_900126595.1	FQMQ00000000	
Staphylococcus argenteus strain 3688STDY6125071	26806258	985002.141	oxacillin	Susceptible										PRJEB9575	SAMEA3449079	GCF_900126595.1	FQMQ00000000	
Staphylococcus argenteus strain 3688STDY6125071	26806258	985002.141	penicillin	Resistant										PRJEB9575	SAMEA3449079	GCF_900126595.1	FQMQ00000000	
Staphylococcus argenteus strain 3688STDY6125071	26806258	985002.141	trimethoprim/sulfamethoxazole	Susceptible										PRJEB9575	SAMEA3449079	GCF_900126595.1	FQMQ00000000	
Staphylococcus argenteus strain 3688STDY6125072	26806258	985002.140	cefoxitin	Susceptible										PRJEB9575	SAMEA3449080	GCF_900126605.1	FQMR00000000	
Staphylococcus argenteus strain 3688STDY6125072	26806258	985002.140	clindamycin	Susceptible										PRJEB9575	SAMEA3449080	GCF_900126605.1	FQMR00000000	
Staphylococcus argenteus strain 3688STDY6125072	26806258	985002.140	erythromycin	Susceptible										PRJEB9575	SAMEA3449080	GCF_900126605.1	FQMR00000000	
Staphylococcus argenteus strain 3688STDY6125072	26806258	985002.140	fosfomycin	Susceptible										PRJEB9575	SAMEA3449080	GCF_900126605.1	FQMR00000000	
Staphylococcus argenteus strain 3688STDY6125072	26806258	985002.140	fusidic acid	Susceptible										PRJEB9575	SAMEA3449080	GCF_900126605.1	FQMR00000000	
Staphylococcus argenteus strain 3688STDY6125072	26806258	985002.140	gentamicin	Susceptible										PRJEB9575	SAMEA3449080	GCF_900126605.1	FQMR00000000	
Staphylococcus argenteus strain 3688STDY6125072	26806258	985002.140	levofloxacin	Susceptible										PRJEB9575	SAMEA3449080	GCF_900126605.1	FQMR00000000	
Staphylococcus argenteus strain 3688STDY6125072	26806258	985002.140	oxacillin	Susceptible										PRJEB9575	SAMEA3449080	GCF_900126605.1	FQMR00000000	
Staphylococcus argenteus strain 3688STDY6125072	26806258	985002.140	penicillin	Resistant										PRJEB9575	SAMEA3449080	GCF_900126605.1	FQMR00000000	
Staphylococcus argenteus strain 3688STDY6125072	26806258	985002.140	trimethoprim/sulfamethoxazole	Susceptible										PRJEB9575	SAMEA3449080	GCF_900126605.1	FQMR00000000	
Staphylococcus argenteus strain 3688STDY6125073	26806258	985002.96	cefoxitin	Susceptible										PRJEB9575	SAMEA3449081	GCF_900128185.1	FQRE00000000	
Staphylococcus argenteus strain 3688STDY6125073	26806258	985002.96	clindamycin	Susceptible										PRJEB9575	SAMEA3449081	GCF_900128185.1	FQRE00000000	
Staphylococcus argenteus strain 3688STDY6125073	26806258	985002.96	erythromycin	Susceptible										PRJEB9575	SAMEA3449081	GCF_900128185.1	FQRE00000000	
Staphylococcus argenteus strain 3688STDY6125073	26806258	985002.96	fosfomycin	Susceptible										PRJEB9575	SAMEA3449081	GCF_900128185.1	FQRE00000000	
Staphylococcus argenteus strain 3688STDY6125073	26806258	985002.96	fusidic acid	Susceptible										PRJEB9575	SAMEA3449081	GCF_900128185.1	FQRE00000000	
Staphylococcus argenteus strain 3688STDY6125073	26806258	985002.96	gentamicin	Susceptible										PRJEB9575	SAMEA3449081	GCF_900128185.1	FQRE00000000	
Staphylococcus argenteus strain 3688STDY6125073	26806258	985002.96	levofloxacin	Susceptible										PRJEB9575	SAMEA3449081	GCF_900128185.1	FQRE00000000	
Staphylococcus argenteus strain 3688STDY6125073	26806258	985002.96	oxacillin	Susceptible										PRJEB9575	SAMEA3449081	GCF_900128185.1	FQRE00000000	
Staphylococcus argenteus strain 3688STDY6125073	26806258	985002.96	penicillin	Resistant										PRJEB9575	SAMEA3449081	GCF_900128185.1	FQRE00000000	
Staphylococcus argenteus strain 3688STDY6125073	26806258	985002.96	trimethoprim/sulfamethoxazole	Susceptible										PRJEB9575	SAMEA3449081	GCF_900128185.1	FQRE00000000	
Staphylococcus argenteus strain 3688STDY6125074	26806258	985002.139	cefoxitin	Susceptible										PRJEB9575	SAMEA3449082	GCF_900126615.1	FQKI00000000	
Staphylococcus argenteus strain 3688STDY6125074	26806258	985002.139	clindamycin	Susceptible										PRJEB9575	SAMEA3449082	GCF_900126615.1	FQKI00000000	
Staphylococcus argenteus strain 3688STDY6125074	26806258	985002.139	erythromycin	Susceptible										PRJEB9575	SAMEA3449082	GCF_900126615.1	FQKI00000000	
Staphylococcus argenteus strain 3688STDY6125074	26806258	985002.139	fosfomycin	Susceptible										PRJEB9575	SAMEA3449082	GCF_900126615.1	FQKI00000000	
