genome_id	genome.publication	genome.bioproject_accession	genome.biosample_accession	genome.assembly_accession	genome.genbank_accessions	genome.refseq_accessions
1280.9825	26686880	PRJEB5261	SAMEA2340086			
1280.9825	26686880	PRJEB5261	SAMEA2340086			
1280.9825	26686880	PRJEB5261	SAMEA2340086			
1280.9825	26686880	PRJEB5261	SAMEA2340086			
1280.9825	26686880	PRJEB5261	SAMEA2340086			
1280.9825	26686880	PRJEB5261	SAMEA2340086			
1280.9826	26686880	PRJEB5261	SAMEA2340087			
1280.9826	26686880	PRJEB5261	SAMEA2340087			
1280.9826	26686880	PRJEB5261	SAMEA2340087			
1280.9826	26686880	PRJEB5261	SAMEA2340087			
1280.9826	26686880	PRJEB5261	SAMEA2340087			
1280.9826	26686880	PRJEB5261	SAMEA2340087			
1280.9826	26686880	PRJEB5261	SAMEA2340087			
1280.9826	26686880	PRJEB5261	SAMEA2340087			
1280.9826	26686880	PRJEB5261	SAMEA2340087			
1280.9826	26686880	PRJEB5261	SAMEA2340087			
1280.9827	26686880	PRJEB5261	SAMEA2340088			
1280.9827	26686880	PRJEB5261	SAMEA2340088			
1280.9827	26686880	PRJEB5261	SAMEA2340088			
1280.9827	26686880	PRJEB5261	SAMEA2340088			
1280.9827	26686880	PRJEB5261	SAMEA2340088			
1280.9827	26686880	PRJEB5261	SAMEA2340088			
1280.9827	26686880	PRJEB5261	SAMEA2340088			
1280.9827	26686880	PRJEB5261	SAMEA2340088			
1280.9827	26686880	PRJEB5261	SAMEA2340088			
1280.9827	26686880	PRJEB5261	SAMEA2340088			
1280.8551	26686880	PRJEB5261	SAMEA2340089			
1280.8551	26686880	PRJEB5261	SAMEA2340089			
1280.8551	26686880	PRJEB5261	SAMEA2340089			
1280.8551	26686880	PRJEB5261	SAMEA2340089			
1280.8551	26686880	PRJEB5261	SAMEA2340089			
1280.8551	26686880	PRJEB5261	SAMEA2340089			
1280.8551	26686880	PRJEB5261	SAMEA2340089			
1280.8551	26686880	PRJEB5261	SAMEA2340089			
1280.8551	26686880	PRJEB5261	SAMEA2340089			
1280.8551	26686880	PRJEB5261	SAMEA2340089			
1280.8619	26686880	PRJEB5261	SAMEA2340090			
1280.8619	26686880	PRJEB5261	SAMEA2340090			
1280.8619	26686880	PRJEB5261	SAMEA2340090			
1280.8619	26686880	PRJEB5261	SAMEA2340090			
1280.8619	26686880	PRJEB5261	SAMEA2340090			
1280.8619	26686880	PRJEB5261	SAMEA2340090			
1280.8619	26686880	PRJEB5261	SAMEA2340090			
1280.8619	26686880	PRJEB5261	SAMEA2340090			
1280.8619	26686880	PRJEB5261	SAMEA2340090			
1280.8619	26686880	PRJEB5261	SAMEA2340090			
1280.8618	26686880	PRJEB5261	SAMEA2340091			
1280.8618	26686880	PRJEB5261	SAMEA2340091			
1280.8618	26686880	PRJEB5261	SAMEA2340091			
1280.8618	26686880	PRJEB5261	SAMEA2340091			
1280.8618	26686880	PRJEB5261	SAMEA2340091			
1280.8618	26686880	PRJEB5261	SAMEA2340091			
1280.8618	26686880	PRJEB5261	SAMEA2340091			
1280.8618	26686880	PRJEB5261	SAMEA2340091			
1280.8618	26686880	PRJEB5261	SAMEA2340091			
1280.8618	26686880	PRJEB5261	SAMEA2340091			
1280.8617	26686880	PRJEB5261	SAMEA2340092			
1280.8617	26686880	PRJEB5261	SAMEA2340092			
1280.8617	26686880	PRJEB5261	SAMEA2340092			
1280.8617	26686880	PRJEB5261	SAMEA2340092			
1280.8617	26686880	PRJEB5261	SAMEA2340092			
1280.8617	26686880	PRJEB5261	SAMEA2340092			
1280.8617	26686880	PRJEB5261	SAMEA2340092			
1280.8617	26686880	PRJEB5261	SAMEA2340092			
1280.8617	26686880	PRJEB5261	SAMEA2340092			
1280.8617	26686880	PRJEB5261	SAMEA2340092			
1280.8616	26686880	PRJEB5261	SAMEA2340093			
