pubmed_id	source_sheet	isolate_name	accession	accession_type	organism	drug_raw	mic_operator	mic_value	sir_call	source_file
35756053	Sheet1	1D-038			Escherichia coli	cefazolin	=	16		Table_2.XLSX
35756053	Sheet1	1D-038			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-038			Escherichia coli	cefuroxime	=	8		Table_2.XLSX
35756053	Sheet1	1D-038			Escherichia coli	ciprofloxacin	>	4		Table_2.XLSX
35756053	Sheet1	1D-038			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-038			Escherichia coli	trimethoprim	>	4/76		Table_2.XLSX
35756053	Sheet1	1D-038			Escherichia coli	ticarcillin/clavulanic acid	>	64/2		Table_2.XLSX
35756053	Sheet1	1D-038			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-038			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-039			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-039			Escherichia coli	cefuroxime	=	8		Table_2.XLSX
35756053	Sheet1	1D-039			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-039			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-039			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-040			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-040			Escherichia coli	ampicillin/sulbactam	=	16/8		Table_2.XLSX
35756053	Sheet1	1D-040			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-040			Escherichia coli	gentamicin	=	16		Table_2.XLSX
35756053	Sheet1	1D-040			Escherichia coli	trimethoprim	>	4/76		Table_2.XLSX
35756053	Sheet1	1D-040			Escherichia coli	tobramycin	>	8		Table_2.XLSX
35756053	Sheet1	1D-040			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-040			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-041			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-041			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-041			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-041			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-042			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-042			Escherichia coli	ampicillin/sulbactam	=	16/8		Table_2.XLSX
35756053	Sheet1	1D-042			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-042			Escherichia coli	cefuroxime	=	16		Table_2.XLSX
35756053	Sheet1	1D-042			Escherichia coli	ciprofloxacin	>	4		Table_2.XLSX
35756053	Sheet1	1D-042			Escherichia coli	cefoxitin	=	16		Table_2.XLSX
35756053	Sheet1	1D-042			Escherichia coli	trimethoprim	>	4/76		Table_2.XLSX
35756053	Sheet1	1D-042			Escherichia coli	tobramycin	>	8		Table_2.XLSX
35756053	Sheet1	1D-042			Escherichia coli	ticarcillin/clavulanic acid	=	32/2		Table_2.XLSX
35756053	Sheet1	1D-042			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-042			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-043			Escherichia coli	cephalothin	=	4		Table_2.XLSX
35756053	Sheet1	1D-043			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-044			Escherichia coli	aztreonam	=	8		Table_2.XLSX
35756053	Sheet1	1D-044			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-044			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-044			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-045			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-045			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-045			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-046			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-046			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-046			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-047			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-047			Escherichia coli	cefuroxime	=	8		Table_2.XLSX
35756053	Sheet1	1D-047			Escherichia coli	ciprofloxacin	>	4		Table_2.XLSX
35756053	Sheet1	1D-047			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-047			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-047			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-048			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-048			Escherichia coli	ampicillin/sulbactam	=	32/16		Table_2.XLSX
35756053	Sheet1	1D-048			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-048			Escherichia coli	trimethoprim	>	4/76		Table_2.XLSX
35756053	Sheet1	1D-048			Escherichia coli	ticarcillin/clavulanic acid	>	64/2		Table_2.XLSX
35756053	Sheet1	1D-048			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-048			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	ampicillin/sulbactam	=	16/8		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	aztreonam	>	32		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	cefazolin	>	32		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	cefepime	>	32		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	cefuroxime	>	32		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	ciprofloxacin	>	4		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	cefoxitin	=	32		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	cefpodoxime	>	16		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	ceftazidime	=	32		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	ticarcillin/clavulanic acid	=	32/2		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	ceftriaxone	>	64		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-049			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-050			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-050			Escherichia coli	ampicillin/sulbactam	>	32/16		Table_2.XLSX
35756053	Sheet1	1D-050			Escherichia coli	cefazolin	>	32		Table_2.XLSX
35756053	Sheet1	1D-050			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-050			Escherichia coli	cefuroxime	=	8		Table_2.XLSX
35756053	Sheet1	1D-050			Escherichia coli	piperacillin/tazobactam	>	128/4		Table_2.XLSX
35756053	Sheet1	1D-050			Escherichia coli	ticarcillin/clavulanic acid	>	64/2		Table_2.XLSX
35756053	Sheet1	1D-050			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-050			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-051			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-051			Escherichia coli	cefuroxime	=	8		Table_2.XLSX
35756053	Sheet1	1D-051			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-051			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-052			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-052			Escherichia coli	ciprofloxacin	>	4		Table_2.XLSX
35756053	Sheet1	1D-052			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
