Supplementary Data 11													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Amoxicillin
M_SRA	ERR350241	ERR350241	Mycobacterium ulcerans										
M_SRA	ERR376904	ERR376904	Mycobacterium ulcerans										
M_SRA	ERR376912	ERR376912	Mycobacterium ulcerans										
M_SRA	ERR376920	ERR376920	Mycobacterium ulcerans										
M_SRA	ERR376928	ERR376928	Mycobacterium ulcerans										
M_SRA	ERR376936	ERR376936	Mycobacterium ulcerans										
M_SRA	ERR376944	ERR376944	Mycobacterium ulcerans										
M_SRA	ERR376952	ERR376952	Mycobacterium ulcerans										
M_SRA	ERR376960	ERR376960	Mycobacterium ulcerans										
M_SRA	ERR376968	ERR376968	Mycobacterium ulcerans										
M_SRA	ERR376976	ERR376976	Mycobacterium ulcerans										
M_SRA	ERR376984	ERR376984	Mycobacterium ulcerans										
M_SRA	ERR376992	ERR376992	Mycobacterium ulcerans										
M_SRA	ERR449594	ERR449594	Mycobacterium ulcerans										
M_SRA	ERR449602	ERR449602	Mycobacterium ulcerans										
M_SRA	ERR449610	ERR449610	Mycobacterium ulcerans										
M_SRA	ERR449618	ERR449618	Mycobacterium ulcerans										
M_SRA	ERR449626	ERR449626	Mycobacterium ulcerans										
M_SRA	ERR449634	ERR449634	Mycobacterium ulcerans										
M_SRA	ERR449642	ERR449642	Mycobacterium ulcerans										
M_SRA	ERR449650	ERR449650	Mycobacterium ulcerans										
M_SRA	ERR449658	ERR449658	Mycobacterium ulcerans										
M_SRA	ERR449666	ERR449666	Mycobacterium ulcerans										
M_SRA	ERR449674	ERR449674	Mycobacterium ulcerans										
M_SRA	ERR449682	ERR449682	Mycobacterium ulcerans										
M_SRA	SRR014419	SRR014419	Mycobacterium ulcerans										
M_SRA	SRR073311	SRR073311	Mycobacterium ulcerans										
M_SRA	SRR496178	SRR496178	Mycobacterium ulcerans										
M_SRA	SRR496391	SRR496391	Mycobacterium ulcerans										
M_SRA	DRR015961	DRR015961	Mycobacterium vaccae										
M_SRA	DRR015963	DRR015963	Mycobacterium vaccae										
M_SRA	SRR1006147	SRR1006147	Mycobacterium xenopi										
M_SRA	SRR1006148	SRR1006148	Mycobacterium xenopi										
M_SRA	SRR1006149	SRR1006149	Mycobacterium xenopi										
M_SRA	SRR1006150	SRR1006150	Mycobacterium xenopi										
M_SRA	SRR1006151	SRR1006151	Mycobacterium xenopi										
M_SRA	SRR1006169	SRR1006169	Mycobacterium xenopi										
M_SRA	SRR1006170	SRR1006170	Mycobacterium xenopi										
M_SRA	SRR1006171	SRR1006171	Mycobacterium xenopi										
M_SRA	SRR1006172	SRR1006172	Mycobacterium xenopi										
M_SRA	SRR1006173	SRR1006173	Mycobacterium xenopi										
