"Supplementary Dataset 1. R - Resistance, S - Susceptible"																	
sample_set	comid	sra_accessions	species	Sequence Type (ST)	Clol Complex (CC)	Gentamicin	Penicillin	Trimethoprim	Erythromycin	Methicillin	Ciprofloxacin	Rifampicin	Tetracycline	Mupirocin	FusidicAcid	Clindamycin	Vancomycin
St_A1	C00000850	ERS397547	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000852	ERS397549	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003252	ERS397753	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003108	ERS397616	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003109	ERS397617	aureus	6	cc6	S	R	S	S	S	S	S	S		S		S
St_A1	C00003106	ERS397614	aureus	25	cc25	S	R	S	S	S	S	S	S		S		S
St_A1	C00003107	ERS397615	aureus			S	R	R	S	S	S	S	S		S		S
St_A1	C00003104	ERS397613	aureus	22	cc22	R	R	S	R	R	R	S	S		S		S
St_A1	C00003102	ERS397611	aureus	5	cc5	S	S	S	S	S	S	S	S		S		S
St_A1	C00003103	ERS397612	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003100	ERS397609	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003101	ERS397610	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003254	ERS397755	aureus	88	cc88	S	R	R	S	S	S	S	S		S		S
St_A1	C00003255	ERS397756	aureus	22	cc22	S	R	S	S	S	S	S	S		S		S
St_A1	C00003324	ERS397821	aureus	8	cc8	S	R	S	S	S	S	S	S		S		S
St_A1	C00003325	ERS397822	aureus	5	cc5	S	S	S	S	S	S	S	S		S		S
St_A1	C00003322	ERS397819	aureus	182		S	R	S	S	S	S	S	S		S		S
St_A1	C00003323	ERS397820	aureus	22	cc22	S	R	R	R	R	R	S	S		S		S
St_A1	C00003320	ERS397817	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003088	ERS397599	aureus	12	cc12	S	R	S	S	S	S	S	S		S		S
St_A1	C00003087	ERS397598	aureus	8	cc8	S	S	S	S	S	S	S	S		S		S
St_A1	C00003086	ERS397597	aureus	22	cc22	S	R	S	R	S	R	S	S		S		S
St_A1	C00003085	ERS397596	aureus	12	cc12	S	S	S	S	S	S	S	S		S		S
St_A1	C00003084	ERS397595	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00003083	ERS397594	aureus	8	cc8	S	R	S	S	S	S	S	S		S		S
St_A1	C00003328	ERS397823	aureus			S	S	S	S	S	S	S	R		S		S
St_A1	C00003329	ERS397824	aureus	97	cc97	S	S	S	S	S	S	S	S		S		S
St_A1	C00008960	ERS397987	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003330	ERS397825	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003258	ERS397759	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003259	ERS397760	aureus			S	S	S	S	S	S	S	S		S		S
St_A1	C00003250	ERS397751	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003251	ERS397752	aureus	109	cc109	S	R	S	S	S	S	S	S		S		S
St_A1	C00003256	ERS397757	aureus	30	cc30	S	R	S	S	S	S	S	S		S		S
St_A1	C00003257	ERS397758	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00001390	ERS397564	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00001397	ERS397565	aureus	22	cc22	S	R		R	R	R	S	S	S	S		S
St_A1	C00003269	ERS397770	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00001399	ERS397566	aureus	22	cc22	S	R		S	R	R	S	S	S	S	S	S
St_A1	C00008996	ERS397996	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00009030	ERS398005	aureus	8	cc8	S	R		S	S	S	S	S	S	R	S	S
